date,open,high,low,close,volume
2017-01-03,214.86,220.33,210.96,216.99,5923254
2017-01-04,214.75,228,214.31,226.99,11213471
2017-01-05,226.42,227.48,221.95,226.75,5911695
2017-01-06,226.93,230.31,225.45,229.01,5527893
2017-01-09,228.97,231.92,228,231.28,3979484
2017-01-10,232,232,226.89,229.87,3659955
2017-01-11,229.07,229.98,226.68,229.73,3650825
2017-01-12,229.06,230.7,225.58,229.59,3790229
2017-01-13,230,237.85,229.59,237.75,6092960
2017-01-17,236.7,239.96,234.37,235.58,4617522
2017-01-18,236.65,239.71,235.58,238.36,3768967
2017-01-19,247.25,248.68,240.75,243.76,7732303
2017-01-20,245.46,246,243.01,244.73,4204275
2017-01-23,245.85,250.89,245.5,248.92,6262938
2017-01-24,250,254.8,249.65,254.61,4965451
2017-01-25,257.31,258.46,251.8,254.47,5146361
2017-01-26,254.29,255.74,250.75,252.51,3152123
2017-01-27,251.38,253,248.52,252.95,3166336
2017-01-30,252.53,255.29,247.1,250.63,3801074
2017-01-31,249.24,255.89,247.7,251.93,4116104
2017-02-01,253.05,253.2,249.05,249.24,3958829
2017-02-02,248.34,252.42,247.71,251.55,2499775
2017-02-03,251.91,252.18,249.68,251.33,2186723
2017-02-06,251,257.82,250.63,257.77,3562517
2017-02-07,258.19,260,256.42,257.48,4244775
2017-02-08,257.35,263.36,256.2,262.08,3933014
2017-02-09,266.25,271.18,266.15,269.2,7820222
2017-02-10,269.79,270.95,266.11,269.23,3619739
2017-02-13,270.74,280.79,270.51,280.6,7029605
2017-02-14,279.03,287.39,278.61,280.98,7345224
2017-02-15,280,282.24,276.44,279.76,4947856
2017-02-16,277.6,280,268.5,268.95,7077322
2017-02-17,265.8,272.89,264.15,272.23,6257149
2017-02-21,275.45,281.4,274.01,277.39,5676747
2017-02-22,280.31,283.45,272.6,273.51,8754975
2017-02-23,264,264.66,255.56,255.99,14915249
2017-02-24,252.66,258.25,250.2,257,8171626
2017-02-27,248.17,248.36,242.01,246.23,11460810
2017-02-28,244.19,251,243.9,249.99,6078145
2017-03-01,254.18,254.85,249.11,250.02,4809488
2017-03-02,249.71,253.28,248.27,250.48,3351833
2017-03-03,250.74,251.9,249,251.57,2929234
2017-03-06,247.91,251.7,247.51,251.21,3355500
2017-03-07,251.92,253.89,248.32,248.59,3459470
2017-03-08,247,250.07,245.32,246.87,3728649
2017-03-09,247.63,248.66,243,244.9,3879293
2017-03-10,246.21,246.5,243,243.69,3066272
2017-03-13,244.82,246.85,242.78,246.17,3022625
2017-03-14,246.11,258.12,246.02,258,7598446
2017-03-15,257,261,254.27,255.73,5330806
